date,day_of_week,planning_streak,phase,task_number,is_backlog,backlog_id,task_description,expected_difficulty,expected_motivation,complete_or_not,reason_task_outcome,mood_before,mood_after
11/18,Tuesday,1,2,1,No,,Less than an hour each screen time for Facebook and Instagram,4,4,No,It exceeded ,4,2
11/18,Tuesday,1,2,2,No,,Early run around UPD,4,3,No,I was not able to wake up early,4,2
11/19,Wednesday,2,2,1,No,,Wake up at 8 am for the whole week,4,2,No,I often sleep at 1am these past few days,3,3
11/19,Wednesday,2,2,2,No,,Try to apply for internship,5,3,No,Portfolio is not yet ready,3,3
11/20,Thursday,3,2,1,Yes,B19,Outside zone: 3 quality time 1 day socializing for stress relief,3,4,Yes,Catch up outside with refreshment away from screen time,2,5
11/20,Thursday,3,2,2,No,,Meet a recommended newbie from churchmate,2,5,Yes,Cancelled class,2,5
11/21,Friday,4,2,1,No,,Try visiting clinic and use phone as means of communication,4,3,Yes,Not well so needed to find answers for quick recovery,1,3
11/21,Friday,4,2,2,No,,Exceed the daily XP in Datacamp,3,4,Yes,I got productive,1,3
11/22,Saturday,5,2,1,No,,8 glasses water,4,4,Yes,I needed for voice recovery,3,3
11/22,Saturday,5,2,2,No,,Ginger tea and rest voice as much as possible,3,4,Yes,Not good taste and resting felt boring but I needed,3,3
11/23,Sunday,0,,,,,,,,,,,
11/23,Sunday,0,,,,,,,,,,,
11/24,Monday,1,2,1,No,,Do not exceed Social Media app restriction,3,4,Yes,I got productive today so I followed the restriction,3,5
11/24,Monday,1,2,2,Yes,B04,Reread Intermediate Python in Datacamp,4,5,Yes,I achieved 4k XP for the first time,3,5
11/25,Tuesday,0,,,,,,,,,,,
11/25,Tuesday,0,,,,,,,,,,,
11/26,Wednesday,1,2,1,No,,Productivity and less of social media,3,4,Yes,First few weeks be like obeying my plans,4,4
11/26,Wednesday,1,2,2,No,,Planning and DS proposal making,4,5,Yes,Pushed myself so I can have a topic to propose,4,4
11/27,Thursday,2,2,1,No,,Early wake up and fetch Titas,3,4,Yes,Few hours of sleep but this is effort for family,4,4
11/27,Thursday,2,2,2,No,,Baclaran with tita and join titas at night,4,4,Yes,Helped my senior Titas because my strength be the one carrying the stuffs bought,4,4
11/28,Friday,3,2,1,No,,Go for a long walk and eat salad,3,4,Yes,Was motivated to walk and reward self a salad,3,3
11/28,Friday,3,2,2,No,,Finish a whole part of track in Datacamp,4,3,No,Not enough amount of time,3,3
11/29,Saturday,4,2,1,No,,No phone usage until 5pm,5,4,Yes,Disciplined myself enough,3,4
11/29,Saturday,4,2,2,No,,Have an 8-glasses of water to take ,3,5,Yes,Still trying to continue the good hydration,3,4
11/30,Sunday,0,2,,,,,,,,,,
11/30,Sunday,0,2,,,,,,,,,,
